album_id,title,artist_id
156,AndJusticeForAll,50
208,BlackLightSyndrome,136
257,20thCenturyMastersTheMillenniumCollectionTheBestofScorpions,179
296,ACoplandCelebrationVolI,230
94,AMatterofLifeandDeath,90
95,ARealDeadOne,90
96,ARealLiveOne,90
285,ASopranoInspired,219
139,ATempestadeTempestadeOuOLivroDosDias,99
224,Acastico,146
167,AcasticoMTV,113
26,AcasticoMTVlive,19
160,AceOfSpades,106
232,AchtungBaby,150
307,AdamsJohnTheChairmanDances,242
272,AdorateDeumGregorianChantfromtheProperoftheMass,206
24,Afrociberdelia,18
74,AlbumOfTheYear,82
14,AlcoholFueledBrewtalityLiveDisc1,11
15,AlcoholFueledBrewtalityLiveDisc2,11
233,AllThatYouCantLeaveBehind,150
273,AllegriMiserere,207
89,AmericanIdiot,54
75,AngelDust,82
248,AoVivoimport,155
90,AppetiteforDestruction,88
254,Aquaman,159
120,AreYouExperienced,94
319,ArmadaMusicfromtheCourtsofEnglandandSpain,251
168,ArquivoII,113
169,ArquivoOsParalamasDoSucesso,113
85,AsCanesdeEuTuEles,27
203,ASides,132
10,Audioslave,8
29,AxABahia2001,21
277,BachGoldbergVariations,211
327,BachOrchestralSuitesNos1to4,257
300,BachTheBrandenburgConcertos,234
278,BachTheCelloSuites,212
297,BachToccataFugueinDMinor,231
276,BachViolinConcertos,210
321,BacktoBlack,252
12,BackBeatSoundtrack,9
2,BallstotheWall,2
170,BarkattheMoonRemastered,114
325,BartokViolinViolaConcertos,255
145,BarulhinhoBom,103
253,BattlestarGalacticaClassicSeason1,158
227,BattlestarGalacticaSeason3,147
226,BattlestarGalacticaTheStorySoFar,147
30,BBCSessionsDisc1live,22
127,BBCSessionsDisc2live,22
304,BeethovenPianoSonatasMoonlightPastorale,238
284,BeethovenSymhoniesNos56,218
324,BeethovenSymphonyNo6PastoralEtc,254
312,BerliozSymphonieFantastique,245
212,BeyondGoodAndEvil,139
5,BigOnes,3
313,BizetCarmenHighlights,246
148,BlackAlbum,50
16,BlackSabbath,12
17,BlackSabbathVol4Remaster,12
171,BlizzardofOzz,114
193,BloodSugarSexMagik,127
93,BlueMoods,89
18,BodyCount,13
31,BongoFury,23
97,BraveNewWorld,90
234,BSides19801990,150
194,ByTheWay,127
56,CssiaEllerColeoSemLimiteDisc2,77
57,CssiaEllerSemLimiteDisc1,77
124,Cafezinho,97
260,CakeBSidesandRarities,196
195,Californication,127
295,CarminaBurana,229
32,Carnaval2001,21
323,CarriedtoDustBonusTrackVersion,253
270,CarryOn,205
191,CestaBsica,125
328,CharpentierDivertissementsAirsConcerts,258
19,ChemicalWedding,14
33,ChillBrazilDisc1,24
34,ChillBrazilDisc2,6
301,ChopinPianoConcertosNos12,235
54,ChronicleVol1,76
55,ChronicleVol2,76
27,CidadeNegraHits,19
128,Coda,22
58,ComeTasteTheBand,58
165,Compositores,111
246,Contraband,153
206,Core,134
25,DaLamaAoCaos,18
98,DanceOfDeath,90
183,DarkSideOfTheMoon,120
59,DeepPurpleInRock,58
78,DeixaEntrar,83
161,Demorou,108
172,DiaryofaMadmanRemastered,114
242,DiverDown,152
69,DjavanAoVivoVol02,80
70,DjavanAoVivoVol1,80
266,DuosII,201
306,ElgarCelloConcertoVaughanWilliamsFantasias,241
71,ElisReginaMinhaHistria,41
116,EmergencyOnPlanetEarth,92
314,EnglishRenaissance,247
265,EveryKindofLight,200
88,Faceless,87
7,Facelift,5
288,FaurRequiemRavelPavaneOthers,222
99,FearOfTheDark,90
60,Fireball,58
1,ForThoseAboutToRockWeSaluteYou,1
322,Frank,252
163,FromTheMuddyBanksOfTheWishkahlive,110
330,GreckiSymphonyNo3,260
35,GarageIncDisc1,50
149,GarageIncDisc2,50
119,GetBorn,93
286,GreatOperaChoruses,220
294,GreatPerformancesBarbersAdagioandOtherRomanticFavoritesforStrings,228
305,GreatRecordingsoftheCenturyMahlerDasLiedvonderErde,240
341,GreatRecordingsoftheCenturyShubertSchwanengesang4Lieder,270
339,GreatRecordingsoftheCenturyPaganinis24Caprices,268
141,GreatestHits,100
185,GreatestHitsI,51
36,GreatestHitsII,51
37,GreatestKiss,52
188,Green,124
316,GriegPeerGyntSuitesSibeliusPellasetMlisande,248
315,HandelMusicfortheRoyalFireworksOriginalVersion1749,208
279,HandelTheMessiahHighlights,213
283,HaydnSymphonies99104,217
38,HeartoftheNight,53
228,HeroesSeason1,148
292,HolstThePlanetsOp32VaughanWilliamsFantasies,226
216,HotRocks19641971Disc1,142
258,HouseofPain,180
129,HousesOfTheHoly,22
235,HowToDismantleAnAtomicBomb,150
205,InStep,133
130,InThroughTheOutDoor,22
79,InYourHonorDisc1,84
80,InYourHonorDisc2,84
255,InstantKarmaTheAmnestyInternationalCampaigntoSaveDarfur,150
39,InternationalSuperhits,54
40,IntoTheLight,55
100,IronMaiden,90
131,IV,22
335,JSBachChaconneSuiteinEMinorPartitainEMajorPreludeFugueandAllegro,265
6,JaggedLittlePill,4
122,JorgeBenJor25Anos,46
123,JotaQuest1995,96
201,Judas0BSidesandRarities,131
150,KillEmAll,50
101,Killers,90
76,KingForADayFoolForALifetime,82
61,KnockingatYourBackDoorTheBestOfDeepPurpleinthe80s,58
347,KoyaanisqatsiSoundtrackfromtheMotionPicture,275
132,LedZeppelinI,22
133,LedZeppelinII,22
134,LedZeppelinIII,22
4,LetThereBeRock,1
340,Liszt12tudesDExecutionTranscendante,269
209,LiveDisc1,137
210,LiveDisc2,137
102,LiveAfterDeath,90
103,LiveAtDonington1992Disc1,90
104,LiveAtDonington1992Disc2,90
178,LiveOnTwoLegslive,118
125,LivingAfterMidnight,98
151,Load,50
342,LocatelliConcertosforViolinStringsandContinuoVol3,271
230,LostSeason1,149
231,LostSeason2,149
229,LostSeason3,149
261,LOSTSeason4,149
142,LuluSantosRCA100AnosDeMsicalbum01,101
143,LuluSantosRCA100AnosDeMsicalbum02,101
62,MachineHead,58
140,MaisDoMesmo,99
199,Maquinarama,130
302,MascagniCavalleriaRusticana,236
152,MasterOfPuppets,50
326,MendelssohnAMidsummerNightsDream,256
41,MeusMomentos,56
207,Mezmerize,135
157,MilesAhead,68
158,MiltonNascimentoAoVivo,42
159,Minas,42
42,MinhaHistria,57
23,MinhaHistoria,17
144,MisplacedChildhood,102
43,MKIIITheFinalConcertsDisc1,58
345,MonteverdiLOrfeo,273
204,MorningDance,53
162,MotleyCrueGreatestHits,109
317,MozartGalaFamousArias,249
346,MozartChamberMusic,274
320,MozartSymphoniesNos4041,248
282,MozartWindConcertos,216
263,MusoKo,198
221,MyGenerationTheVeryBestOfTheWho,144
83,MyWayTheBestOfFrankSinatraDisc1,85
28,NaPista,20
164,Nevermind,110
189,NewAdventuresInHiFi,124
186,NewsOfTheWorld,51
338,NielsenTheSixSymphonies,267
173,NoMoreTearsRemastered,114
105,NoPrayerForTheDying,90
217,NoSecurity,142
200,OSambaPocon,130
166,Olodum,112
81,OneByOne,84
176,OriginalSoundtracks1,116
184,OsCesLadramMasACaravanaNoPra,121
11,OutOfExile,8
187,OutOfTime,122
68,Outbreak,79
274,PachelbelCanonGigue,208
309,PalestrinaMissaPapaeMarcelliAllegriMiserere,244
293,PavarottisOperaMadeEasy,227
179,PearlJam,118
44,PhysicalGraffitiDisc1,22
135,PhysicalGraffitiDisc2,22
106,PieceOfMind,90
9,PlaysMetallicaByFourCellos,7
236,Pop,150
107,Powerslave,90
21,PrendaMinha,16
136,Presence,22
310,ProkofievRomeoJuliet,245
298,ProkofievSymphonyNo1,232
336,ProkofievSymphonyNo5StravinksyLeSacreDuPrintemps,248
291,PucciniMadamaButterflyHighlights,225
333,PurcellMusicfortheQueenMary,263
331,PurcellTheFairyQueen,261
213,PureCultTheBestOfTheCultForRockersRaversLoversSinnersuk,139
63,Purpendicular,58
86,QuantaGenteVeioVerLive,27
87,QuantaGenteVeioverBnusDeCarnaval,27
262,QuietSongs,197
259,RadioBrasilOSomdaJovemVanguardaSeleccaodeHenriqueAmaro,36
237,RattleAndHum,150
192,RaulSeixas,126
264,Realize,199
153,ReLoad,50
343,RespighiPinesofRome,226
3,RestlessandWild,2
196,RetrospectiveI19741980,128
271,Revelations,8
154,RideTheLightning,50
180,RiotAct,118
108,RockInRiocd1,90
109,RockInRiocd2,90
84,RodaDeFunk,86
202,RottenApplesGreatestHits,131
45,SambasDeEnredo2001,21
197,SantanaAsYearsGoBy,59
198,SantanaLive,59
299,Scheherazade,233
344,SchubertTheLateStringQuartetsStringQuintet3CDs,272
318,SCRIABINVerslaflamme,250
146,SeekAndShallFindMoreOfTheBest19631981,104
222,SerieSemLimiteDisc1,145
223,SerieSemLimiteDisc2,145
110,SeventhSonofaSeventhSon,90
115,SexMachine,91
303,SibeliusFinlandia,237
281,SirNevilleMarrinerACelebration,215
64,SlavesAndMasters,58
111,SomewhereinTime,90
329,SouthAmericanGetaway,259
22,SozinhoRemixAoVivo,16
256,SpeakoftheDevil,114
155,StAnger,50
65,Stormbringer,58
311,StraussWaltzes,226
46,Supernatural,59
121,SurfingwiththeAlienRemastered,95
117,Synkronized,92
337,SzymanowskiPianoWorksVol1,266
219,Tangents,143
308,Tchaikovsky1812FestivalOvertureOp49CapriccioItalienBeethovenWellingtonsVictory,243
289,TchaikovskyTheNutcracker,223
269,TempleoftheDog,204
181,Ten,118
66,TheBattleRagesOn,58
177,TheBeastLive,117
238,TheBestOf19801990,150
268,TheBestofBeethoven,203
13,TheBestOfBillyCobham,10
20,TheBestOfBuddyGuyTheMilleniumCollection,15
47,TheBestofEdMotta,37
147,TheBestOfMenAtWork,105
190,TheBestOfREMTheIRSYears,124
243,TheBestOfVanHalenVolI,152
82,TheColourAndTheShape,84
72,TheCreamOfClapton,81
214,TheDoors,140
48,TheEssentialMilesDavisDisc1,68
49,TheEssentialMilesDavisDisc2,68
50,TheFinalConcertsDisc2,58
290,TheLastNightoftheProms,224
112,TheNumberofTheBeast,90
249,TheOfficeSeason1,156
250,TheOfficeSeason2,156
251,TheOfficeSeason3,156
215,ThePoliceGreatestHits,141
77,TheRealThing,82
118,TheReturnOfTheSpaceCowboy,92
211,TheSingles,138
137,TheSongRemainsTheSameDisc1,22
138,TheSongRemainsTheSameDisc2,22
332,TheUltimateRelexationAlbum,262
280,TheWorldofClassicalFavourites,214
113,TheXFactor,90
220,Transmission,143
174,Tribute,114
241,UB40TheBestOfVolumeTwouk,151
252,UnLedEd,157
73,Unplugged,81
126,Unpluggedlive,52
51,UpAnAtom,69
91,UseYourIllusionI,88
92,UseYourIllusionII,88
244,VanHalen,152
245,VanHalenIII,152
67,VaultDefLeppardsGreatestHits,78
52,VinciusDeMoraesSemLimite,70
247,ViniciusDeMoraes,72
114,VirtualXI,90
275,VivaldiTheFourSeasons,209
225,VolumeDois,146
218,VoodooLounge,142
53,VozesdoMPB,21
182,Vs,118
287,WagnerFavouriteOvertures,221
175,WalkingIntoClarksdale,115
239,War,150
8,Warner25Anos,6
334,WeillTheSevenDeadlySins,264
267,Worlds,202
240,Zooropa,150
